Level,Title,Anchor
חלק,חלק א׳: כללי,חלק_א
פרק,פרק ראשון: פרשנות,חלק_א_פרק_1
פרק,פרק שני: הוראות כלליות,חלק_א_פרק_2
חלק,חלק ב׳: הדרך והתנועה בה,חלק_ב
פרק,פרק ראשון: סמכויות,חלק_ב_פרק_1
סימן,סימן א׳: המפקח על התעבורה,חלק_ב_פרק_1_סימן_א
סימן,סימן ב׳: רשות תימרור מרכזית,חלק_ב_פרק_1_סימן_ב
סימן,סימן ב׳1: רשות תימרור מקומית לניהול תנועה,חלק_ב_פרק_1_סימן_ב1
סימן,סימן ג׳: רשות תימרור מקומית,חלק_ב_פרק_1_סימן_ג
סימן,סימן ד׳: קצין משטרה וקצין משטרה צבאית פיקודי,חלק_ב_פרק_1_סימן_ד
פרק,פרק שני: התנהגות בדרך,חלק_ב_פרק_2
סימן,סימן א׳: כללי,חלק_ב_פרק_2_סימן_א
סימן,סימן ב׳: הכביש ונתיביו,חלק_ב_פרק_2_סימן_ב
סימן,סימן ב׳1: קלנועית,חלק_ב_פרק_2_סימן_ב1
סימן,סימן ב׳2: רכינוע,חלק_ב_פרק_2_סימן_ב2
סימן,סימן ב׳3: אופניים עם מנוע עזר,חלק_ב_פרק_2_סימן_ב3
סימן,סימן ב׳3א: גלגינוע,חלק_ב_פרק_2_סימן_ב3א
סימן,סימן ב׳4: קלנועית ביטחון,חלק_ב_פרק_2_סימן_ב4
סימן,סימן ב׳5: יחידת הינע חיצונית לכיסא גלגלים,חלק_ב_פרק_2_סימן_ב5
סימן,סימן ב׳6: רכב זעיר,חלק_ב_פרק_2_סימן_ב6
סימן,"סימן ג׳: סטיה, פניה ונסיעה אחורנית",חלק_ב_פרק_2_סימן_ג
סימן,סימן ד׳: פגישה ועקיפה,חלק_ב_פרק_2_סימן_ד
סימן,סימן ה׳: ריווח,חלק_ב_פרק_2_סימן_ה
סימן,סימן ו׳: מהירות,חלק_ב_פרק_2_סימן_ו
סימן,סימן ז׳: מפגש מסילת ברזל,חלק_ב_פרק_2_סימן_ז
סימן,סימן ח׳: איתות,חלק_ב_פרק_2_סימן_ח
סימן,סימן ט׳: זכות קדימה,חלק_ב_פרק_2_סימן_ט
סימן,"סימן י׳: חניה, עמידה ועצירה",חלק_ב_פרק_2_סימן_י
סימן,סימן י״א: הסעת נוסעים והובלת מטען,חלק_ב_פרק_2_סימן_יא
סימן,סימן י״ב: גרירה,חלק_ב_פרק_2_סימן_יב
סימן,סימן י״ג: רכב בטחון,חלק_ב_פרק_2_סימן_יג
סימן,סימן י״ג1: רכב תפעולי,חלק_ב_פרק_2_סימן_יג1
סימן,סימן י״ד: אורות,חלק_ב_פרק_2_סימן_יד
פרק,"פרק שלישי: הולכי רגל, אופנוע, גלגינוע, אופניים ובעלי־חיים",חלק_ב_פרק_3
סימן,סימן א׳: הולכי רגל,חלק_ב_פרק_3_סימן_א
סימן,סימן ב׳: אופנוע או תלת־אופנוע,חלק_ב_פרק_3_סימן_ב
סימן,סימן ב׳1: גלגינוע,חלק_ב_פרק_3_סימן_ב1
סימן,סימן ג׳: אופניים ותלת־אופן,חלק_ב_פרק_3_סימן_ג
סימן,סימן ד׳: בעלי־חיים,חלק_ב_פרק_3_סימן_ד
סימן,סימן ד׳1: עגלה,חלק_ב_פרק_3_סימן_ד1
סימן,סימן ה׳: עגלת־יד,חלק_ב_פרק_3_סימן_ה
פרק,פרק רביעי: תאונות,חלק_ב_פרק_4
פרק,פרק חמישי: הוראות שונות,חלק_ב_פרק_5
פרק,פרק שישי: בדיקת שכרות,חלק_ב_פרק_6
חלק,חלק ג׳: נהגים,חלק_ג
פרק,פרק ראשון: פרשנות,חלק_ג_פרק_1
פרק,פרק שני: רישוי נהגים,חלק_ג_פרק_2
סימן,סימן א׳: בקשה לרשיון נהיגה,חלק_ג_פרק_2_סימן_א
סימן,סימן א׳1: תכנית הליווי,חלק_ג_פרק_2_סימן_א1
סימן,סימן ב׳: רשיונות נהיגה והיתרים לסוגיהם,חלק_ג_פרק_2_סימן_ב
סימן,סימן ג׳: בדיקות רפואיות,חלק_ג_פרק_2_סימן_ג
סימן,סימן ד׳: בחינות,חלק_ג_פרק_2_סימן_ד
סימן,"סימן ה׳: הזמנת בעלי רשיונות לבירור, לקבלת הדרכה, לבחינה ולבדיקה",חלק_ג_פרק_2_סימן_ה
סימן,סימן ו׳: המרת רישיון נהיגה,חלק_ג_פרק_2_סימן_ו
סימן,סימן ז׳: אגרות רשיון נהיגה,חלק_ג_פרק_2_סימן_ז
פרק,פרק שלישי: הוראה והדרכה בנהיגה,חלק_ג_פרק_3
סימן,סימן א׳: תלמיד נהיגה,חלק_ג_פרק_3_סימן_א
סימן,סימן ב׳: בתי ספר לנהיגה,חלק_ג_פרק_3_סימן_ב
סימן,סימן ג׳: מורים מוסמכים,חלק_ג_פרק_3_סימן_ג
סימן,סימן ד׳: מנהלים מקצועיים של בתי ספר לנהיגה,חלק_ג_פרק_3_סימן_ד
סימן,סימן ה׳: הוראות כלליות,חלק_ג_פרק_3_סימן_ה
סימן,סימן ו׳: הדרכה,חלק_ג_פרק_3_סימן_ו
סימן,סימן ז׳: ערר,חלק_ג_פרק_3_סימן_ז
סימן,סימן ח׳: שימוש בדרכים לשם לימוד נהיגה (בוטל),חלק_ג_פרק_3_סימן_ח
חלק,חלק ד׳: כלי רכב,חלק_ד
פרק,פרק ראשון: הוראות כלליות,חלק_ד_פרק_1
סימן,סימן א׳: פרשנות,חלק_ד_פרק_1_סימן_א
סימן,סימן ב׳: כללי,חלק_ד_פרק_1_סימן_ב
פרק,פרק שני: רישום ורישוי רכב מנועי,חלק_ד_פרק_2
סימן,סימן א׳: רשיון רכב,חלק_ד_פרק_2_סימן_א
סימן,"סימן א׳1: דלק, רעש, זיהום אויר והפרעות קשר לרכב",חלק_ד_פרק_2_סימן_א1
סימן,סימן ב׳: שינויים ברישום רכב,חלק_ד_פרק_2_סימן_ב
סימן,סימן ג׳: רשיון סחר,חלק_ד_פרק_2_סימן_ג
סימן,סימן ג׳1: רכב לתחבורה קלה,חלק_ד_פרק_2_סימן_ג1
סימן,סימן ד׳: סימני זיהוי לרכב,חלק_ד_פרק_2_סימן_ד
פרק,פרק שלישי: מבנה הרכב,חלק_ד_פרק_3
סימן,סימן א׳: מצב הרכב והפיקוח על תקינותו,חלק_ד_פרק_3_סימן_א
סימן,סימן ב׳: מידות רכב ומשקלו,חלק_ד_פרק_3_סימן_ב
סימן,"סימן ג׳: מנוע, מערכות הדלק והפליטה",חלק_ד_פרק_3_סימן_ג
סימן,"סימן ד׳: מערכת ההילוכים, מערכת ההיגוי, הגלגלים והקפיצים",חלק_ד_פרק_3_סימן_ד
סימן,סימן ה׳: בלמים,חלק_ד_פרק_3_סימן_ה
סימן,סימן ו׳: מערכת האורות,חלק_ד_פרק_3_סימן_ו
סימן,סימן ז׳: המרכב,חלק_ד_פרק_3_סימן_ז
סימן,סימן ח׳: מיתקנים נוספים ואביזרים,חלק_ד_פרק_3_סימן_ח
סימן,סימן ט׳: ציוד מיוחד,חלק_ד_פרק_3_סימן_ט
סימן,סימן י׳: מיתקנים וציוד ברכב מחובר וברכב מורכב,חלק_ד_פרק_3_סימן_י
סימן,סימן י״א: שינויים במבנה רכב,חלק_ד_פרק_3_סימן_יא
סימן,סימן י״ב: סימון רכב למטרות בטיחות,חלק_ד_פרק_3_סימן_יב
חלק,חלק ה׳: אוטובוסים,חלק_ה
פרק,פרק ראשון: פרשנות,חלק_ה_פרק_1
פרק,פרק שני: רישוי שירותי אוטובוסים,חלק_ה_פרק_2
פרק,פרק שלישי: חובות בעל רשיון,חלק_ה_פרק_3
פרק,פרק רביעי: חובות הנהג ועובדי השירות,חלק_ה_פרק_4
פרק,פרק חמישי: התנהגות הנוסע וחובותיו,חלק_ה_פרק_5
פרק,פרק ששי: הגבלות על הסעת נוסעים ועל הובלת מטען באוטובוס,חלק_ה_פרק_6
פרק,פרק שביעי: הוראות מיוחדות בדבר מבנה האוטובוסים וציודם,חלק_ה_פרק_7
חלק,חלק ו׳: מוניות,חלק_ו
פרק,פרק ראשון: כללי,חלק_ו_פרק_1
סימן,סימן א׳: הגדרות,חלק_ו_פרק_1_סימן_א
סימן,סימן ב׳: הוראות כלליות,חלק_ו_פרק_1_סימן_ב
פרק,פרק שני: רישוי שירותי מוניות,חלק_ו_פרק_2
סימן,סימן א׳: רשיון הסעה,חלק_ו_פרק_2_סימן_א
סימן,סימן ב׳: רשיון לקו שירות,חלק_ו_פרק_2_סימן_ב
סימן,סימן ג׳: היתר להעברת רשיון,חלק_ו_פרק_2_סימן_ג
פרק,פרק שלישי: חובות בעל רשיון ונהג מונית,חלק_ו_פרק_3
פרק,פרק רביעי: התנהגות הנוסע וחובותיו,חלק_ו_פרק_4
פרק,פרק חמישי: מונים,חלק_ו_פרק_5
פרק,פרק ששי: הסדרים לגבי נמל התעופה בן־גוריון,חלק_ו_פרק_6
פרק,פרק שביעי: מתן רשיון להפעלת מונית,חלק_ו_פרק_7
פרק,פרק שמיני: מתן רשיון להפעלת מונית,חלק_ו_פרק_8
חלק,חלק ז׳: שיטת הניקוד בעבירות תעבורה,חלק_ז
חלק,חלק ח׳: המצאת רשיונות לאחר פסילה,חלק_ח
חלק,חלק ט׳: תנועה בין־לאומית,חלק_ט
חלק,חלק ט׳1: תנועה מהאזור,חלק_ט1
חלק,חלק י׳: סדרי בטיחות בהפעלת כלי רכב במפעלים,חלק_י
חלק,חלק י״א: רשות פיקוח,חלק_יא
חלק,חלק י״ב: הוראות שונות,חלק_יב
